I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo,Desc. Tipo,0Km,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,pagina,tabla_num
I 39014013 A 390 14 013 3-STAR SXZ1047W CAMION 3913000 3757000 3600000 3443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 39014011 A 390 14 011 3-STAR SXZ3043 CAMION 4400000 4180000 3960000 3740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 17410011 A 174 10 011 ACURA MDX 3.5L TODO TERRENO 8424200 8171500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 17410010 A 174 10 010 ACURA MDX 3.7L TODO TERRENO 8424200 8171500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017087 A 080 17 087 AGRALE 10000 CHASIS C/CABINA 28916800 27984000 27051200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467915 A 04679 23 15 AGRALE 13000 CAMION 31482000 30316000 29150000 27984000 26818000 25652000 24486000 23320000 22154000 20988000 19822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017058 A 080 17 058 AGRALE 13000 CHASIS C/CABINA 31482000 30316000 29150000 27984000 26818000 25652000 24486000 23320000 22154000 20988000 19822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017088 A 080 17 088 AGRALE 14000 CHASIS C/CABINA 41043200 38711200 37312000 35912800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017090 A 080 17 090 AGRALE 14000 6X2 CHASIS C/CABINA 45707200 43375200 41043200 38711200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467905 A 04679 26 05 AGRALE 6000 CHASIS C/CABINA 23320000 21920800 20988000 19588800 18656000 17723200 16790400 15857600 14924800 13992000 13059200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017052 A 080 17 052 AGRALE 6000 CHASIS C/CABINA 23320000 21920800 20988000 19588800 18656000 17723200 16790400 15857600 14924800 13992000 13059200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017020 A 080 17 020 AGRALE 6000 CD CHASIS C/CABINA 12826000 12313000 11820400 10727200 10298100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017018 A 080 17 018 AGRALE 6000D CHASIS C/CABINA 12868200 12353500 11859400 11385000 10929600 10492400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017055 A 080 17 055 AGRALE 7500 CHASIS C/CABINA 17723200 16790400 15857600 14924800 13992000 13059200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467906 A 04679 99 06 AGRALE 7500 SIN ESPECIFICACION 17723200 16790400 15857600 14924800 13992000 13059200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467907 A 04679 26 07 AGRALE 7500 CD CHASIS C/CABINA 18656000 17723200 16790400 15857600 14924800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017057 A 080 17 057 AGRALE 7500 CD CHASIS C/CABINA 17723200 16790400 15857600 14924800 13992000 13059200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08014053 A 080 14 053 AGRALE 8500 CAMION 15857600 14924800 13992000 11660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467908 A 04679 26 08 AGRALE 8500 CHASIS C/CABINA 25652000 24486000 23320000 22154000 20988000 19822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017053 A 080 17 053 AGRALE 8500 CHASIS C/CABINA 27051200 25885200 24719200 23553200 22387200 21454400 20521600 19588800 18656000 17723200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017069 A 080 17 069 AGRALE 8500 CD CHASIS C/CABINA 27051200 25885200 24719200 23553200 22387200 21221200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017068 A 080 17 068 AGRALE 8500 CE CHASIS C/CABINA 27051200 25885200 24719200 23553200 22387200 21454400 20521600 19588800 18656000 17723200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017038 A 080 17 038 AGRALE 8500 TCA CHASIS C/CABINA 15857600 14924800 13992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017012 A 080 17 012 AGRALE 8500 TURBO CHASIS C/CABINA 15857600 14924800 13992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467912 A 04679 26 12 AGRALE 8500CD CHASIS C/CABINA 27051200 25885200 24719200 23553200 22387200 21221200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017089 A 080 17 089 AGRALE 8700 CHASIS C/CABINA 25652000 24719200 23786400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08014054 A 080 14 054 AGRALE 9200 CAMION 28916800 27750800 26584800 25418800 24252800 23086800 21920800 20754800 19588800 18422800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467909 A 04679 26 09 AGRALE 9200 CHASIS C/CABINA 28916800 27750800 26584800 25418800 24252800 23086800 21920800 20754800 19588800 18422800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017054 A 080 17 054 AGRALE 9200 CHASIS C/CABINA 28916800 27750800 26584800 25418800 24252800 23086800 21920800 20754800 19588800 18422800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017039 A 080 17 039 AGRALE 9200 TCA CHASIS C/CABINA 18656000 17723200 16790400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467922 A 04679 26 22 AGRALE A 10000 CHASIS CON CABINA 89657550 85174875 80692200 76657100 72824400 69183500 65723400 62437500 59316300 56350400 53532900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467923 A 04679 26 23 AGRALE A 8700 CHASIS CON CABINA 83525850 79349625 75173400 71415000 67844300 64451700 61229300 58167500 55259600 52496100 49871700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017083 A 080 17 083 AGRALE A10000 CHASIS C/CABINA 89657550 85174875 80692200 76657100 72824400 69183500 65723400 62437500 59316300 56350400 53532900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017082 A 080 17 082 AGRALE A7500 CHASIS C/CABINA 28916800 27984000 27051200 25652000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08017084 A 080 17 084 AGRALE A8700 CHASIS C/CABINA 83525850 79349625 75173400 71415000 67844300 64451700 61229300 58167500 55259600 52496100 49871700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467935 A 04679 26 35 AGRALE CHASIS CON CABINA A 8700 4CXH4ASIS CON CABINA 104205150 98994825 93784500 89096000 84641000 80408700 76388400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467947 A 04679 26 47 AGRALE CHASIS CON CABINA AGRALEC MHAOSDISE LCOO NA C10A0B0IN0A 89657550 85174875 80692200 76657100 72824400 69183500 65723400 62437500 59316300 56350400 53532900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467949 A 04679 26 49 AGRALE CHASIS CON CABINA AGRALEC MHAOSDISE LCOO NA C87A0B0IN 4AX4 104205150 98994825 93784500 89096000 84641000 80408700 76388400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467948 A 04679 26 48 AGRALE CHASIS CON CABINA MODELCOH AA 8SI7S0 C0ON CABINA 83525850 79349625 75173400 71415000 67844300 64451700 61229300 58167500 55259600 52496100 49871700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08013037 A 080 13 037 AGRALE FURGOVAN 6000 FURGON 12826000 12313000 11820400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467926 A 04679 25 26 AGRALE MA 10.0 V.4.400 3.8 5 162 MCEHC AMSIESC SIN CABINA 1870000 1776500 1683000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467910 A 04679 25 10 AGRALE MA 8.5 CHASIS S/CABINA 1820000 1729000 1638000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 08016051 A 080 16 051 AGRALE MA 8.5 CHASIS S/CABINA 1820000 1729000 1638000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467901 A 04679 25 01 AGRALE MT 15.0 LE CHASIS S/CABINA 2000000 1900000 1800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
N 0467919 A 04679 25 19 AGRALE MT 15.0 LE V 5500 6.7 5 226 CAHUATSRIS SIN CABINA 2020000 1919000 1818000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I M7922001A M79 22 001 AIXAM CROSSLINE SEDAN 3 PUERTAS 2884000 2788000 2678000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422193 A 004 22 193 ALFA ROMEO 145 1.9 JTD SEDAN 3 PUERTAS 1682000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422112 A 004 22 112 ALFA ROMEO 145 2.0 QUADRIFOGLIO SEDAN 3 PUERTAS 1697000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422234 A 004 22 234 ALFA ROMEO 145 2.0TI SEDAN 3 PUERTAS 1697000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422233 A 004 22 233 ALFA ROMEO 145 QUADRIFOGLIO 2.0TI SEDAN 3 PUERTAS 1697000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422177 A 004 22 177 ALFA ROMEO 145 TS QUADRIFOGLIO AGV 2S.E0DAN 3 PUERTAS 1697000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402196 A 004 02 196 ALFA ROMEO 146 1.9 JTD SEDAN 4 PUERTAS 1622000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405196 A 004 05 196 ALFA ROMEO 146 1.9 JTD SEDAN 5 PUERTAS 1622000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422249 A 004 22 249 ALFA ROMEO 147 1.6 MPI 16V T. SPARK SEDAN 3 PUERTAS 7802000 7411000 7042000 6657000 6324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405249 A 004 05 249 ALFA ROMEO 147 1.6 MPI 16V T. SPARK SEDAN 5 PUERTAS 8324000 7907000 7512000 7101000 6746000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422217 A 004 22 217 ALFA ROMEO 147 1.9 JTD SEDAN 3 PUERTAS 9884000 9390000 8921000 8433000 8012000 7611000 7230000 6835000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405217 A 004 05 217 ALFA ROMEO 147 1.9 JTD SEDAN 5 PUERTAS 9884000 9390000 8921000 8433000 8012000 7611000 7230000 6835000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405253 A 004 05 253 ALFA ROMEO 147 1.9 JTDM SEDAN 5 PUERTAS 9884000 9390000 8921000 8433000 8012000 7611000 7230000 6835000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405215 A 004 05 215 ALFA ROMEO 147 2.0 MPI 16V TSPARK SEDAN 5 PUERTAS 8842000 8401000 7980000 7545000 7167000 6808000 6468000 6115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422259 A 004 22 259 ALFA ROMEO 147 2.0 T.SPARK SEDAN 3 PUERTAS 8842000 8401000 7980000 7545000 7167000 6808000 6468000 6115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405259 A 004 05 259 ALFA ROMEO 147 2.0 T.SPARK SEDAN 5 PUERTAS 8842000 8401000 7980000 7545000 7167000 6808000 6468000 6115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405243 A 004 05 243 ALFA ROMEO 147 2.0MPI 16V SEDAN 5 PUERTAS 8842000 8401000 7980000 7545000 7167000 6808000 6468000 6115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405242 A 004 05 242 ALFA ROMEO 147 2.0MPI 16V SELESPEEDSEDAN 5 PUERTAS 9362000 8894000 8449000 7988000 7589000 7209000 6848000 6474000 6150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405218 A 004 05 218 ALFA ROMEO 147 2.0MPI 16V TSPARK SELESSEPDEAEND 5 PUERTAS 9362000 8894000 8449000 7988000 7589000 7209000 6848000 6474000 6150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422228 A 004 22 228 ALFA ROMEO 147 3.2 GTA V6 24V SEDAN 3 PUERTAS 24848000 24035000 23261000 22459000 21766000 21106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422265 A 004 22 265 ALFA ROMEO 147 SELESPEED SEDAN 3 PUERTAS 9362000 8894000 8449000 7988000 7589000 7209000 6848000 6474000 6150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405265 A 004 05 265 ALFA ROMEO 147 SELESPEED SEDAN 5 PUERTAS 9362000 8894000 8449000 7988000 7589000 7209000 6848000 6474000 6150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422246 A 004 22 246 ALFA ROMEO 147 T.SPARK 1.6 SEDAN 3 PUERTAS 7802000 7411000 7042000 6657000 6324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405246 A 004 05 246 ALFA ROMEO 147 T.SPARK 1.6 SEDAN 5 PUERTAS 8324000 7907000 7512000 7101000 6746000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00422226 A 004 22 226 ALFA ROMEO 147 TWIN SPARK 1.6 SEDAN 3 PUERTAS 7802000 7411000 7042000 6657000 6324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00405226 A 004 05 226 ALFA ROMEO 147 TWIN SPARK 1.6 SEDAN 5 PUERTAS 7802000 7411000 7042000 6657000 6324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402281 A 004 02 281 ALFA ROMEO 156 SEDAN 4 PUERTAS 3344000 3177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402287 A 004 02 287 ALFA ROMEO 156 1.6 T.SPARK SEDAN 4 PUERTAS 3783000 3638000 3498000 3347000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402166 A 004 02 166 ALFA ROMEO 156 1.6TS SEDAN 4 PUERTAS 4140000 3933000 3736000 3532000 3356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402258 A 004 02 258 ALFA ROMEO 156 1.8 T.SPARK SEDAN 4 PUERTAS 4140000 3933000 3736000 3532000 3356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402167 A 004 02 167 ALFA ROMEO 156 1.8TS SEDAN 4 PUERTAS 4140000 3933000 3736000 3532000 3356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00404269 A 004 04 269 ALFA ROMEO 156 1.9 JTD RURAL 5 PUERTAS 3261000 3090000 2936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00404308 A 004 04 308 ALFA ROMEO 156 1.9 JTD SPORTWAGONRURAL 5 PUERTAS 3239000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00404206 A 004 04 206 ALFA ROMEO 156 2.0 T. SPARK SPORTWAGROUNRAL 5 PUERTAS 3261000 3090000 2936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402168 A 004 02 168 ALFA ROMEO 156 2.0TS SEDAN 4 PUERTAS 4140000 3933000 3736000 3532000 3356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402170 A 004 02 170 ALFA ROMEO 156 2.4 JTD SEDAN 4 PUERTAS 3602000 3422000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00404207 A 004 04 207 ALFA ROMEO 156 2.4 JTD SPORTWAGONRURAL 5 PUERTAS 3239000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402191 A 004 02 191 ALFA ROMEO 156 2.4TD SEDAN 4 PUERTAS 3602000 3422000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00402190 A 004 02 190 ALFA ROMEO 156 2.5 V6 24V SEDAN 4 PUERTAS 4139000 3932000 3717000 3532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
I 00404208 A 004 04 208 ALFA ROMEO 156 2.5 V6 24V SPORTWAGORNURAL 5 PUERTAS 3092000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00404231 A 004 04 231 ALFA ROMEO 156 CROSSWAGON Q4 1.9 JTRDURAL 5 PUERTAS 4335000 4128000 3931000 3716000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402221 A 004 02 221 ALFA ROMEO 156 GTA 3.2 V6 24V SEDAN 4 PUERTAS 4139000 3932000 3717000 3532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402272 A 004 02 272 ALFA ROMEO 159 1.8 TBI SEDAN 4 PUERTAS 7563000 7140000 6777000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00404256 A 004 04 256 ALFA ROMEO 159 1.9 JTDM RURAL 5 PUERTAS 6949000 6751000 6552000 6323000 6125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402256 A 004 02 256 ALFA ROMEO 159 1.9 JTDM SEDAN 4 PUERTAS 6949000 6751000 6552000 6323000 6125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402237 A 004 02 237 ALFA ROMEO 159 1.9JTD SEDAN 4 PUERTAS 6949000 6751000 6552000 6323000 6125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402236 A 004 02 236 ALFA ROMEO 159 1.9JTS SEDAN 4 PUERTAS 6949000 6751000 6552000 6323000 6125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00404238 A 004 04 238 ALFA ROMEO 159 2.2JTS RURAL 5 PUERTAS 7821000 7583000 7383000 7149000 6951000 6752000 6553000 6324000 6126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402238 A 004 02 238 ALFA ROMEO 159 2.2JTS SEDAN 4 PUERTAS 7821000 7583000 7383000 7149000 6951000 6752000 6553000 6324000 6126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402239 A 004 02 239 ALFA ROMEO 159 2.4JTD SEDAN 4 PUERTAS 6949000 6751000 6552000 6323000 6125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402252 A 004 02 252 ALFA ROMEO 159 3.2 JTS Q4 SEDAN 4 PUERTAS 9209000 8749000 8288000 7859000 7490000 7122000 6753000 6416000 6109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402240 A 004 02 240 ALFA ROMEO 159 3.2JTS SEDAN 4 PUERTAS 9209000 8749000 8288000 7859000 7490000 7122000 6753000 6416000 6109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00421248 A 004 21 248 ALFA ROMEO 159 COUPE BRERA 2.2 JTS COUPE 6552000 6354000 6155000 5928000 5730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00422248 A 004 22 248 ALFA ROMEO 159 COUPE BRERA 2.2 JTS SEDAN 3 PUERTAS 6552000 6354000 6155000 5928000 5730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00421241 A 004 21 241 ALFA ROMEO 159 COUPE BRERA 3.2 JTS COUPE 17512200 17328600 17145000 16962800 16696800 16514600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00404327 A 004 04 327 ALFA ROMEO 159 TI RURAL 5 PUERTAS 7821000 7583000 7383000 7149000 6951000 6752000 6553000 6324000 6126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00404273 A 004 04 273 ALFA ROMEO 159 TI 2.2 RURAL 5 PUERTAS 7821000 7583000 7383000 7149000 6951000 6752000 6553000 6324000 6126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402273 A 004 02 273 ALFA ROMEO 159 TI 2.2 SEDAN 4 PUERTAS 6552000 6354000 6155000 5928000 5730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402225 A 004 02 225 ALFA ROMEO 166 2.5 V6 24V SEDAN 4 PUERTAS 3649100 3510000 3389900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402189 A 004 02 189 ALFA ROMEO 166 3.0 V6 24V SEDAN 4 PUERTAS 3649100 3510000 3389900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402229 A 004 02 229 ALFA ROMEO 166 3.2 V6 24V SEDAN 4 PUERTAS 4935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00426142 A 004 26 142 ALFA ROMEO 2000 DESCAPOTABLE 12730500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00421077 A 004 21 077 ALFA ROMEO 2000 SPIDER COUPE 10797300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00421063 A 004 21 063 ALFA ROMEO 2600 COUPE 14755700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402306 A 004 02 306 ALFA ROMEO ALFA 156 2.0 SEDAN 4 PUERTAS 3933000 3736000 3550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00421264 A 004 21 264 ALFA ROMEO BRERA COUPE 16779200 16595600 16412000 16228400 15966500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00422264 A 004 22 264 ALFA ROMEO BRERA SEDAN 3 PUERTAS 16779200 16595600 16412000 16228400 15966500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402315 A 004 02 315 ALFA ROMEO GIULIA 200CV SEDAN 4 PUERTAS 54206600 48786300 43907400 39517200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402317 A 004 02 317 ALFA ROMEO GIULIA 280CV SEDAN 4 PUERTAS 104625000 97537500 90450000 82350000 75600000 69431900 62488800 56239700 50615600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402331 A 004 02 331 ALFA ROMEO GIULIA 280CV VELOCE SEDAN 4 PUERTAS 104625000 97537500 90450000 82350000 75600000 69431900 62488800 56239700 50615600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402320 A 004 02 320 ALFA ROMEO GIULIA QUADRIFOGLIO SEDAN 4 PUERTAS 255150000242325000229500000216000000202500000189000000175500000162000000148500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00402316 A 004 02 316 ALFA ROMEO GIULIA QUADRIFOLIO SEDAN 4 PUERTAS 255150000242325000229500000216000000202500000189000000175500000162000000148500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00405068 A 004 05 068 ALFA ROMEO GIULIETTA SEDAN 5 PUERTAS 11127000 10571000 10042000 9540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00405284 A 004 05 284 ALFA ROMEO GIULIETTA 170CV DISTINCTIVSEEDAN 5 PUERTAS 20971000 19923000 18927000 17980000 17082000 16227000 15416000 14645000 13913000 13217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00405285 A 004 05 285 ALFA ROMEO GIULIETTA DISTINCTIVE 120 CSVEDAN 5 PUERTAS 11540000 10963000 10414000 9893000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00405286 A 004 05 286 ALFA ROMEO GIULIETTA PROGRESSION 12S0ECDVAN 5 PUERTAS 18478000 17452000 16425000 15398000 14372000 12210000 11600000 11020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00405292 A 004 05 292 ALFA ROMEO GIULIETTA PROGRESSION 17S0E CDVAN 5 PUERTAS 12279000 11665000 11082000 10528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
I 00405283 A 004 05 283 ALFA ROMEO GIULIETTA QUADRIFOGLIOSEDAN 5 PUERTAS 23076000 21922000 20827000 19785000 18461000 17538000 16661000 15828000 15036000 14285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
